station_id,horizon,frost_accuracy,frost_precision,frost_recall,frost_f1,frost_roc_auc,frost_pr_auc,frost_brier_score,frost_tn,frost_fp,frost_fn,frost_tp,frost_ece,temp_mae,temp_rmse,temp_r2,temp_mape
146,3h,0.9958788597671784,0.768893756845564,0.6795740561471443,0.7214799588900308,0.9976661765312926,0.8051636218182454,0.0029865845053372187,130273,211,331,702,0.0012378464057262227,1.6337227747125178,2.100481018862752,0.9442250529562372,23.92584933697679
146,6h,0.9947762215429536,0.676530612244898,0.6418199419167473,0.6587183308494784,0.9963113247682509,0.7285921323972802,0.003761997194993984,130164,317,370,663,0.0024604219676498265,2.1061017192353493,2.6565339569279627,0.9107881576679706,29.629603733936786
146,12h,0.9935897435897436,0.6877470355731226,0.33688286544046464,0.4522417153996101,0.9920103456968146,0.5695224184163004,0.004871044200976829,130317,158,685,348,0.002450140085315461,2.4006819570366895,3.019513802321041,0.8847412434068904,38.05331138239213
146,24h,0.9932089189024761,0.6605504587155964,0.2787996127783156,0.39210347174948945,0.9879311807491435,0.4848402014571371,0.005361984848302237,130315,148,745,288,0.0016572279565954106,2.0427528260992025,2.629057555060744,0.9126156390672002,33.10612303010983
182,3h,0.9950272588334588,0.8227360308285164,0.7721518987341772,0.7966417910447762,0.996831578753,0.873822802241184,0.0036518090995359092,129582,276,378,1281,0.0013911390699744251,1.6150518678076657,2.1021046851929337,0.9488864031965337,26.784284936144825
182,6h,0.992951320771933,0.8029801324503312,0.5846895720313442,0.6766655040111615,0.9953109706057127,0.786298203553424,0.0049924356133817524,129617,238,689,970,0.0019464178436371365,2.254816567310551,2.891690090808689,0.9032788623883531,37.21182253382819
182,12h,0.9891717614137543,0.8051948051948052,0.18685955394816153,0.30332681017612523,0.989361779710082,0.6243305440262157,0.0074957918964789275,129774,75,1349,310,0.003880457449514597,2.5802498687349753,3.302647546767305,0.8738316001374018,48.58150152047937
182,24h,0.9907069416560199,0.7997256515775034,0.351416515973478,0.4882747068676717,0.9875597971793659,0.6310785498385344,0.007249890023108065,129691,146,1076,583,0.002587150151592387,2.1082826731740343,2.740696856468609,0.9131049863913383,39.76169555653934
194,3h,0.9957495989111674,0.8057851239669421,0.6776715899218071,0.7361963190184049,0.9976966872108897,0.8044829735121403,0.0032359163473781424,130178,188,371,780,0.0011962571207461232,1.4706089142773628,1.9048620717736002,0.9474962925039406,22.998370209376098
194,6h,0.9942895813373481,0.73094688221709,0.5499565595134666,0.6276648487853247,0.9937555504391123,0.6783210919185916,0.004679751221116906,130130,233,518,633,0.0013976654276684128,2.0966513774324524,2.66394359910897,0.8973159157281642,31.229128979575243
